title,author,price,pages,avg_reviews,n_reviews,star5,star4,star3,star2,star1,publisher,ISBN_13
Data Analysis Using R (Low Priced Edition): A Primer for Data Scientist, Dr Dhaval Maheta,6.75,500,4.4,23.0,0.55,0.39,0.06,0.0,0.0,"Notion Press Media Pvt Ltd (November 22, 2021)",978-1685549596
"Head First Data Analysis: A learner's guide to big numbers, statistics, and good decisions",,33.72,484,4.3,124.0,0.61,0.2,0.09,0.04,0.06,"O'Reilly Media; 1st edition (August 18, 2009)",978-0596153939
Guerrilla Data Analysis Using Microsoft Excel: Overcoming Crap Data and Excel Skirmishes," Oz du Soleil,  and , Bill Jelen",32.07,274,4.7,10.0,0.87,0.13,0.0,0.0,0.0,"Holy Macro! Books; Third edition (August 1, 2022)",978-1615470747
"Python for Data Analysis: Data Wrangling with Pandas, NumPy, and IPython", William McKinney,53.99,547,4.6,1686.0,0.75,0.16,0.05,0.02,0.02,"O'Reilly Media; 2nd edition (November 14, 2017)",978-1491957660
Excel Data Analysis For Dummies (For Dummies (Computer/Tech)), Paul McFedries,24.49,368,3.9,12.0,0.52,0.17,0.1,0.1,0.1,"For Dummies; 5th edition (February 3, 2022)",978-1119844426
SQL for Data Analysis: Advanced Techniques for Transforming Data into Insights, Cathy Tanimura,40.49,360,4.6,72.0,0.75,0.18,0.02,0.02,0.02,"O'Reilly Media; 1st edition (October 5, 2021)",978-1492088783
Qualitative Data Analysis: A Methods Sourcebook," Matthew B. Miles, A. Michael Huberman, et al.",90.0,408,4.7,205.0,0.84,0.09,0.04,0.02,0.0,"SAGE Publications, Inc; 4th edition (January 22, 2019)",Research in Drama Education
Topological Data Analysis with Applications," Gunnar Carlsson,  and , Mikael Vejdemo-Johansson",54.19,230,5.0,5.0,1.0,0.0,0.0,0.0,0.0,"Cambridge University Press; 1st edition (March 24, 2022)",978-1108838658
"R in Action, Third Edition: Data analysis and graphics with R and Tidyverse", Robert I. Kabacoff,56.99,656,4.3,14.0,0.78,0.11,0.11,0.0,0.0,"Manning; 3rd edition (May 3, 2022)",978-1617296055
"Listening to People: A Practical Guide to Interviewing, Participant Observation, Data Analysis, and Writing It All Up (Chicago Guides to Writing, Editing, and Publishing)",,20.0,333,4.5,46.0,0.73,0.13,0.07,0.03,0.03,"University of Chicago Press (October 15, 2021)",978-0226806433
SQL for Data Analytics: Perform efficient and fast data analysis with the power of SQL, Chad Knowles,15.97,106,4.9,201.0,0.91,0.08,0.01,0.0,0.0,"Independently published (September 21, 2022)",979-8354008353
"Data Analytics, Data Visualization & Communicating Data: 3 books in 1: Learn the Processes of Data Analytics and Data Science, Create Engaging Data ... Present Data Effectively (All Things Data)",,28.6,528,4.6,20.0,0.81,0.11,0.07,0.0,0.0,"Kenneth M Fornari (November 10, 2022)", 
Getting Started with Natural Language Processing, Ekaterina Kochmar,39.99,456,4.0,4.0,0.48,0.52,0.0,0.0,0.0,"Manning (October 18, 2022)", 
"SQL QuickStart Guide: The Simplified Beginner's Guide to Managing, Analyzing, and Manipulating Data With SQL", Walter Shields,24.99,249,4.6,1358.0,0.72,0.18,0.07,0.01,0.02,"ClydeBank Media LLC; Illustrated edition (November 18, 2019)",978-1945051753
Python in easy steps,,10.69,192,4.6,386.0,0.74,0.14,0.08,0.02,0.02,"In Easy Steps Limited; 2nd edition (August 28, 2018)",978-1840788129
Python para Principiantes: 2 Libros en 1: Programación de Python para principiantes + Libro de trabajo de Python (Spanish Edition), Programming Languages Academy,19.38,234,4.4,56.0,0.73,0.08,0.1,0.04,0.04,"Independently published (May 2, 2020)",979-8642649534
Quantum Machine Learning and Optimisation in Finance: On the Road to Quantum Advantage," Antoine Jacquier, Oleksiy Kondratyev, et al.",49.99,442,4.9,14.0,0.9,0.1,0.0,0.0,0.0,"Packt Publishing (October 31, 2022)", 
Python Tricks: A Buffet of Awesome Python Features, Dan Bader,29.99,301,4.7,1330.0,0.76,0.17,0.05,0.01,0.01,"Dan Bader; 1st edition (October 25, 2017)",978-1775093305
Think Bayes: Bayesian Statistics in Python (O'reilly), Allen B. Downey,24.2,338,4.5,55.0,0.76,0.08,0.1,0.03,0.03,"O'Reilly Media; 2nd edition (June 8, 2021)",978-1492089469
Data Science for Supply Chain Forecasting, Nicolas Vandeput,51.95,280,4.6,69.0,0.73,0.15,0.1,0.02,0.0,"De Gruyter; 2nd edition (March 22, 2021)",978-3110671100
"Fluent Python: Clear, Concise, and Effective Programming", Luciano Ramalho,50.99,1012,4.7,172.0,0.86,0.07,0.02,0.03,0.02,"O'Reilly Media; 2nd edition (May 10, 2022)",978-1492056355
Python Programming For Beginners: The Ultimate Crash Course to Learn Python Coding Quickly and Easily | Step-by-Step Guide With Hands-on Exercises & Beginners Projects, Leonard J. Ledger,15.97,88,4.9,264.0,0.94,0.04,0.01,0.02,0.0,"Independently published (September 24, 2022)",979-8354411122
Practical Linear Algebra for Data Science: From Core Concepts to Applications Using Python, Mike Cohen,54.99,328,4.1,4.0,0.7,0.3,0.0,0.0,0.0,"O'Reilly Media; 1st edition (October 18, 2022)",978-1098120610
Coding Games in Python (Computer Coding for Kids), DK,13.99,224,4.5,274.0,0.7,0.17,0.06,0.04,0.04,"DK Children; Illustrated edition (July 3, 2018)",$13.99 
Python for Everybody: Exploring Data in Python 3," Charles R. Severance, Aimee Andrion, et al.",0.99,387,4.6,2568.0,0.76,0.16,0.05,0.02,0.02,,
